CustomerID,recency,frequency,monetary,r_score,f_score,m_score,customer_segment
CUST_1276,27,6,1914.21,4,4,4,Champions
CUST_1277,64,4,580.19,2,2,2,Hibernating / Lost
CUST_1278,54,4,1429.1100000000001,3,2,4,Promising / New
CUST_1279,36,5,1223.7,3,3,3,Loyal Customers
CUST_1280,131,2,196.68,1,1,1,Hibernating / Lost
CUST_1281,46,6,4136.36,3,4,5,Loyal Customers
CUST_1282,52,2,529.93,3,1,2,Promising / New
CUST_1283,66,4,665.22,2,2,2,Hibernating / Lost
CUST_1284,73,3,292.33,2,1,1,Hibernating / Lost
CUST_1285,152,4,1254.26,1,2,3,Hibernating / Lost
CUST_1286,48,6,1299.55,3,4,3,Loyal Customers
CUST_1287,202,3,364.34,1,1,1,Hibernating / Lost
CUST_1288,291,2,100.86,1,1,1,Hibernating / Lost
CUST_1289,18,5,738.86,4,3,2,About to Sleep / Average
CUST_1290,5,4,1644.76,5,2,4,Promising / New
CUST_1291,83,4,671.45,2,2,2,Hibernating / Lost
CUST_1292,2,10,2455.0099999999998,5,5,5,Champions
CUST_1293,125,5,1176.47,1,3,3,At Risk / Can't Lose Them
CUST_1294,9,6,354.11,5,4,1,About to Sleep / Average
CUST_1295,10,7,1681.61,5,5,4,Champions
CUST_1296,17,5,850.54,4,3,3,Loyal Customers
CUST_1297,195,5,1255.69,1,3,3,At Risk / Can't Lose Them
CUST_1298,34,8,4768.19,3,5,5,Loyal Customers
CUST_1299,67,5,458.67,2,3,1,At Risk / Can't Lose Them
CUST_1300,18,7,4183.04,4,5,5,Champions
CUST_1301,186,4,17210.89,1,2,5,Hibernating / Lost
CUST_1302,21,6,1257.57,4,4,3,Loyal Customers
CUST_1303,13,6,956.55,5,4,3,Loyal Customers
CUST_1304,78,4,747.0699999999999,2,2,2,Hibernating / Lost
CUST_1305,45,5,2351.2400000000002,3,3,5,Loyal Customers
CUST_1306,197,6,884.78,1,4,3,At Risk / Can't Lose Them
CUST_1307,29,4,723.39,4,2,2,Promising / New
CUST_1308,104,5,1917.1,1,3,4,At Risk / Can't Lose Them
CUST_1309,1,7,1481.3799999999999,5,5,4,Champions
CUST_1310,1,9,1336.0800000000002,5,5,4,Champions
CUST_1311,2,6,736.14,5,4,2,About to Sleep / Average
CUST_1312,7,3,834.41,5,1,2,Promising / New
CUST_1313,73,4,1503.11,2,2,4,Hibernating / Lost
CUST_1314,20,5,1373.31,4,3,4,Loyal Customers
CUST_1315,34,7,1737.3999999999999,3,5,4,Loyal Customers
CUST_1316,1,6,1936.67,5,4,4,Champions
CUST_1317,31,6,611.37,4,4,2,About to Sleep / Average
CUST_1318,110,2,306.19,1,1,1,Hibernating / Lost
CUST_1319,66,3,1231.4,2,1,3,Hibernating / Lost
CUST_1320,5,7,1791.27,5,5,4,Champions
CUST_1321,44,5,463.24,3,3,1,About to Sleep / Average
CUST_1322,92,6,976.0600000000001,2,4,3,At Risk / Can't Lose Them
CUST_1323,71,4,676.91,2,2,2,Hibernating / Lost
CUST_1324,33,6,5626.280000000001,3,4,5,Loyal Customers
CUST_1325,3,8,1350.44,5,5,4,Champions
CUST_1326,114,4,767.9399999999999,1,2,2,Hibernating / Lost
CUST_1327,11,5,1196.67,5,3,3,Loyal Customers
CUST_1328,33,4,1930.2400000000002,3,2,4,Promising / New
CUST_1329,46,5,1826.76,3,3,4,Loyal Customers
CUST_1330,0,3,324.78999999999996,5,1,1,Promising / New
CUST_1331,56,10,6930.990000000001,2,5,5,At Risk / Can't Lose Them
CUST_1332,68,6,1554.22,2,4,4,At Risk / Can't Lose Them
CUST_1334,101,7,4507.5,1,5,5,At Risk / Can't Lose Them
CUST_1335,32,5,1218.72,3,3,3,Loyal Customers
CUST_1336,0,5,641.35,5,3,2,About to Sleep / Average
CUST_1337,84,4,480.88,2,2,1,Hibernating / Lost
CUST_1338,15,7,4064.4,5,5,5,Champions
CUST_1339,51,4,2897.45,3,2,5,Promising / New
CUST_1340,22,4,1122.02,4,2,3,Promising / New
CUST_1341,2,6,836.77,5,4,2,About to Sleep / Average
CUST_1342,4,3,493.08,5,1,1,Promising / New
CUST_1343,6,3,569.4200000000001,5,1,2,Promising / New
CUST_1344,21,4,1609.22,4,2,4,Promising / New
CUST_1345,21,3,372.96999999999997,4,2,1,Promising / New
CUST_1346,10,7,1745.11,5,5,4,Champions
CUST_1347,99,6,4456.46,2,4,5,At Risk / Can't Lose Them
CUST_1348,60,8,4223.150000000001,2,5,5,At Risk / Can't Lose Them
CUST_1349,24,2,320.96000000000004,4,1,1,Promising / New
CUST_1350,2,11,2297.07,5,5,5,Champions
CUST_1351,0,10,1846.3700000000001,5,5,4,Champions
CUST_1352,253,2,333.18,1,1,1,Hibernating / Lost
CUST_1353,132,5,894.58,1,3,3,At Risk / Can't Lose Them
CUST_1354,1,4,899.1100000000001,5,2,3,Promising / New
CUST_1355,13,8,2222.8,5,5,5,Champions
CUST_1356,4,5,624.55,5,3,2,About to Sleep / Average
CUST_1357,35,5,846.36,3,3,2,About to Sleep / Average
CUST_1358,24,6,2099.15,4,4,4,Champions
CUST_1359,61,6,1029.47,2,4,3,At Risk / Can't Lose Them
CUST_1360,70,6,1259.5,2,4,3,At Risk / Can't Lose Them
CUST_1361,121,7,3110.55,1,5,5,At Risk / Can't Lose Them
CUST_1362,73,4,3714.58,2,2,5,Hibernating / Lost
CUST_1363,152,4,1921.88,1,2,4,Hibernating / Lost
CUST_1364,44,4,549.0600000000001,3,2,2,Promising / New
CUST_1365,62,5,511.09000000000003,2,3,1,At Risk / Can't Lose Them
CUST_1366,87,2,531.48,2,1,2,Hibernating / Lost
CUST_1367,280,1,138.57,1,1,1,Hibernating / Lost
CUST_1368,54,2,744.71,3,1,2,Promising / New
CUST_1369,91,7,2573.6,2,5,5,At Risk / Can't Lose Them
CUST_1370,70,6,3010.61,2,4,5,At Risk / Can't Lose Them
CUST_1371,241,4,562.83,1,2,2,Hibernating / Lost
CUST_1372,27,7,778.34,4,5,2,About to Sleep / Average
CUST_1373,111,4,2134.7799999999997,1,2,4,Hibernating / Lost
CUST_1374,85,6,1984.3500000000001,2,4,4,At Risk / Can't Lose Them
CUST_1375,32,6,939.81,3,4,3,Loyal Customers
CUST_1376,35,5,1934.55,3,3,4,Loyal Customers
CUST_1377,42,6,876.64,3,4,3,Loyal Customers
CUST_1378,21,8,2469.74,4,5,5,Champions
CUST_1379,9,7,1860.8,5,5,4,Champions
CUST_1380,78,7,1064.92,2,5,3,At Risk / Can't Lose Them
CUST_1382,39,4,4458.6,3,2,5,Promising / New
CUST_1383,24,5,1681.63,4,3,4,Loyal Customers
CUST_1384,74,4,842.7,2,2,2,Hibernating / Lost
CUST_1385,37,8,3562.73,3,5,5,Loyal Customers
CUST_1386,12,6,819.63,5,4,2,About to Sleep / Average
CUST_1387,25,10,1341.33,4,5,4,Champions
CUST_1388,8,2,123.22,5,1,1,Promising / New
CUST_1389,27,3,139.44,4,2,1,Promising / New
CUST_1390,32,4,464.09000000000003,3,2,1,Promising / New
CUST_1391,68,3,849.72,2,2,2,Hibernating / Lost
CUST_1392,34,6,1301.42,3,4,3,Loyal Customers
CUST_1393,11,7,3696.5,5,5,5,Champions
CUST_1394,5,9,1401.86,5,5,4,Champions
CUST_1395,17,5,763.1,4,3,2,About to Sleep / Average
CUST_1396,149,1,204.45,1,1,1,Hibernating / Lost
CUST_1397,244,3,348.78000000000003,1,2,1,Hibernating / Lost
CUST_1398,18,4,475.41999999999996,4,2,1,Promising / New
CUST_1399,11,8,1883.69,5,5,4,Champions
CUST_1400,90,5,1595.28,2,3,4,At Risk / Can't Lose Them
CUST_1401,22,10,2833.31,4,5,5,Champions
CUST_1402,84,4,705.57,2,2,2,Hibernating / Lost
CUST_1403,32,5,1424.02,3,3,4,Loyal Customers
CUST_1404,75,3,254.41,2,2,1,Hibernating / Lost
CUST_1405,61,4,3430.58,2,2,5,Hibernating / Lost
CUST_1406,52,8,9149.59,3,5,5,Loyal Customers
CUST_1407,21,7,752.4100000000001,4,5,2,About to Sleep / Average
CUST_1409,11,5,1376.33,5,3,4,Loyal Customers
CUST_1410,18,8,967.73,4,5,3,Loyal Customers
CUST_1411,72,7,1116.0,2,5,3,At Risk / Can't Lose Them
CUST_1412,132,3,728.67,1,2,2,Hibernating / Lost
CUST_1413,15,7,794.52,5,5,2,About to Sleep / Average
CUST_1414,143,3,1195.24,1,2,3,Hibernating / Lost
CUST_1415,24,4,1224.15,4,2,3,Promising / New
CUST_1416,70,1,20.43,2,1,1,Hibernating / Lost
CUST_1417,71,5,1580.92,2,3,4,At Risk / Can't Lose Them
CUST_1418,187,2,175.23000000000002,1,1,1,Hibernating / Lost
CUST_1419,51,5,1320.42,3,3,4,Loyal Customers
CUST_1420,19,4,1127.72,4,2,3,Promising / New
CUST_1421,7,8,3214.06,5,5,5,Champions
CUST_1422,112,4,672.6999999999999,1,2,2,Hibernating / Lost
CUST_1423,66,3,465.03999999999996,2,2,1,Hibernating / Lost
CUST_1424,125,1,51.04,1,1,1,Hibernating / Lost
CUST_1425,28,5,626.22,4,3,2,About to Sleep / Average
CUST_1426,110,5,806.65,1,3,2,At Risk / Can't Lose Them
CUST_1427,23,4,516.04,4,2,1,Promising / New
CUST_1428,7,7,3965.12,5,5,5,Champions
CUST_1429,12,6,3960.51,5,4,5,Champions
CUST_1430,98,4,7703.13,2,2,5,Hibernating / Lost
CUST_1431,29,4,520.19,4,2,2,Promising / New
CUST_1432,29,3,261.75,4,2,1,Promising / New
CUST_1433,1,7,2264.89,5,5,5,Champions
CUST_1434,19,8,1704.15,4,5,4,Champions
CUST_1435,126,4,1449.28,1,2,4,Hibernating / Lost
CUST_1436,20,13,1323.8500000000001,4,5,4,Champions
CUST_1437,81,5,881.8100000000001,2,3,3,At Risk / Can't Lose Them
CUST_1438,159,2,779.36,1,1,2,Hibernating / Lost
CUST_1439,15,4,500.19000000000005,5,2,1,Promising / New
CUST_1440,17,10,1453.21,4,5,4,Champions
CUST_1441,71,5,10300.78,2,3,5,At Risk / Can't Lose Them
CUST_1442,224,4,485.98,1,2,1,Hibernating / Lost
CUST_1443,34,8,2644.22,3,5,5,Loyal Customers
CUST_1444,38,7,889.05,3,5,3,Loyal Customers
CUST_1445,31,5,849.82,4,3,3,Loyal Customers
CUST_1446,43,6,1075.42,3,4,3,Loyal Customers
CUST_1447,8,8,3484.0600000000004,5,5,5,Champions
CUST_1448,32,7,3877.82,3,5,5,Loyal Customers
CUST_1449,129,7,1442.94,1,5,4,At Risk / Can't Lose Them
CUST_1450,48,3,789.16,3,2,2,Promising / New
CUST_1451,1,7,1580.0700000000002,5,5,4,Champions
